_event_id,_day_of_week,_start_time,_end_time,_weeks,_break_mins,_spanName,_event_catName,_tag1,_tag2,_capacity_req,_deptName,_global_event,_protected,_suspended,_grouping_id,_registers_req,_lock,_resType,_resName,_resWeeks,_layoutName,_scheduling_status,_quantity
,,,,,,,,,,,,,,,,,,Module,MATH 3465,,,,
,,,,,,,,,,,,,,,,,,Room,FST C2,,,,
54871,Tue,17:00,20:00,40-46,0,,Lecture,,,,,N,N,N,,,
,,,,,,,,,,,,,,,,,,Module,MATH 3465,,,,
,,,,,,,,,,,,,,,,,,Room,FST C3,,,,
54873,Tue,17:00,20:00,40-46,0,,Lecture,,,,,N,N,N,,,
,,,,,,,,,,,,,,,,,,Module,MATH 3272,,,,
,,,,,,,,,,,,,,,,,,Room,FST 114,,,,
54874,Wed,17:00,20:00,40-46,0,,Lecture,,,,,N,N,N,,,
,,,,,,,,,,,,,,,,,,Module,MATH 3278,,,,
,,,,,,,,,,,,,,,,,,Room,TCB 22,,Classroom,,
54875,Thu,17:00,20:00,40-46,0,,Lecture,,,,,N,N,N,,,
,,,,,,,,,,,,,,,,,,Module,MATH 3278,,,,
,,,,,,,,,,,,,,,,,,Room,FST 114,,,,
54778,Fri,17:00,19:00,40-46,0,,Lecture,,,,,N,N,N,,,
,,,,,,,,,,,,,,,,,,Module,FOUN 1106 (EU),,,,
,,,,,,,,,,,,,,,,,,Room,FHE SB5,,Conference Room,,
54818,Thu,17:00,20:00,40-46,0,,Lecture,,,,,N,N,N,,,
,,,,,,,,,,,,,,,,,,Module,SOCI 3036,,,,
,,,,,,,,,,,,,,,,,,Room,FSS 102 E,,Classroom,,
54842,Tue,13:00,15:00,40-46,0,,Lecture,,,,,N,N,N,,,
,,,,,,,,,,,,,,,,,,Module,HIST 3005,,,,
,,,,,,,,,,,,,,,,,,Room,TCB 31,,,,
54852,Thu,16:00,18:00,40-46,0,,Lecture,,,,,N,N,N,,,
,,,,,,,,,,,,,,,,,,Module,MATH 2273,,,,
,,,,,,,,,,,,,,,,,,Room,ENG 9,,Classroom,,
54853,Tue,18:00,19:00,40-46,0,,Lecture,,,,,N,N,N,,,
,,,,,,,,,,,,,,,,,,Module,MATH 2273,,,,
,,,,,,,,,,,,,,,,,,Room,FST 412,,Lecture Room,,
54854,Mon,15:00,17:00,40-46,0,,Lecture,,,,,N,N,N,,,
,,,,,,,,,,,,,,,,,,Module,AGRI 2100,,,,
,,,,,,,,,,,,,,,,,,Room,FFA C,,,,
54856,Tue,15:00,17:00,40-46,0,,Lecture,,,,,N,N,N,,,
,,,,,,,,,,,,,,,,,,Module,AGSL 2101,,,,
,,,,,,,,,,,,,,,,,,Room,FFA B1,,,,
54892,Fri,10:00,12:00,40-46,0,,Lecture,,,,,N,N,N,,,
,,,,,,,,,,,,,,,,,,Module,ECON 0001,,,,
,,,,,,,,,,,,,,,,,,Room,FSS 100 E,,,,
54893,Wed,16:00,18:00,40-46,0,,Lecture,,,,,N,N,N,,,
,,,,,,,,,,,,,,,,,,Module,ECON 0001,,,,
,,,,,,,,,,,,,,,,,,Room,LR2,,Classroom,,
54936,Tue,17:00,19:00,40-46,0,,Lecture,,,,,N,N,N,,,
,,,,,,,,,,,,,,,,,,Module,COMS 1101,,,,
,,,,,,,,,,,,,,,,,,Room,FHE SOE 130,,Classroom,,
54937,Thu,18:00,20:00,40-46,0,,Lecture,,,,,N,N,N,,,
,,,,,,,,,,,,,,,,,,Module,COMS 1101,,,,
,,,,,,,,,,,,,,,,,,Room,FHE CLL  LECTURE ROOM,,Lecture Room,,
54941,Tue,17:00,20:00,40-46,0,,Lecture,,,,,N,N,N,,,
,,,,,,,,,,,,,,,,,,Module,LITS 1201,,,,
,,,,,,,,,,,,,,,,,,Room,FHE CLL  Room  8,,Tutorial Room,,
54995,Fri,09:00,12:00,40-46,0,,Lecture,,,,,N,N,N,,,
,,,,,,,,,,,,,,,,,,Module,MGMT 3310,,,,
,,,,,,,,,,,,,,,,,,Room,FSS Lab,,,,
55004,Mon,15:00,18:00,39-46,0,,Lecture,,,,,N,N,N,,,
,,,,,,,,,,,,,,,,,,Module,AGCP 3011,,,,
,,,,,,,,,,,,,,,,,,Room,FFA 271,,,,
55023,Tue,17:00,20:00,40-46,0,,Lecture,,,,,N,N,N,,,
,,,,,,,,,,,,,,,,,,Module,LING 2403,,,,
,,,,,,,,,,,,,,,,,,Room,ENG 6,,Lecture Theatre,,
55024,Thu,18:00,20:00,40-46,0,,Lecture,,,,,N,N,N,,,
,,,,,,,,,,,,,,,,,,Module,LING 2403,,,,
,,,,,,,,,,,,,,,,,,Room,ENG 6,,Lecture Theatre,,
55025,Mon,16:00,19:00,40-46,0,,Lecture,,,,,N,N,N,,,
,,,,,,,,,,,,,,,,,,Module,LING 3910,,,,
,,,,,,,,,,,,,,,,,,Room,FHE CLL  AUDITORIUM,,Auditorium,,
55026,Fri,16:00,18:00,40-46,0,,Lecture,,,,,N,N,N,,,
,,,,,,,,,,,,,,,,,,Module,LING 3910,,,,
,,,,,,,,,,,,,,,,,,Room,FHE SB1,,Classroom,,
55027,Wed,17:00,20:00,40-46,0,,Lecture,,,,,N,N,N,,,
,,,,,,,,,,,,,,,,,,Module,COMS 2201,,,,
,,,,,,,,,,,,,,,,,,Room,FHE CLL  Room  3,,,,
55014,Mon,08:00,16:00,49-52,0,,Lecture,,,,,N,N,N,,,
,,,,,,,,,,,,,,,,,,Group,Dip.Ed.,,,,
,,,,,,,,,,,,,,,,,,Room,FHE SOE 131,,,,
,,,,,,,,,,,,,,,,,,Room,FHE SOE 202,,,,
,,,,,,,,,,,,,,,,,,Room,FHE SOE 203,,,,
,,,,,,,,,,,,,,,,,,Room,FHE SOE 204,,,,
,,,,,,,,,,,,,,,,,,Room,FHE SOE 217  { Computer Lab - PC },,,,
,,,,,,,,,,,,,,,,,,Room,FHE SOE 218,,,,
,,,,,,,,,,,,,,,,,,Room,FHE SOE 219,,,,
,,,,,,,,,,,,,,,,,,Room,FHE SOE 220  { Computer Lab - MAC },,,,
,,,,,,,,,,,,,,,,,,Room,FHE SOE 221,,,,
,,,,,,,,,,,,,,,,,,Room,FHE SOE 228,,,,
,,,,,,,,,,,,,,,,,,Room,FHE SOE 323  {SR1},,,,
,,,,,,,,,,,,,,,,,,Room,FHE SOE 324  {SR4},,,,
,,,,,,,,,,,,,,,,,,Room,FHE SOE 325  {SR2},,,,
,,,,,,,,,,,,,,,,,,Room,FHE SOE 326  {SR3},,,,
,,,,,,,,,,,,,,,,,,Room,FHE SOE A1 BCD (Room 1),,,,
,,,,,,,,,,,,,,,,,,Room,FHE SOE A1 EF (Room 2),,,,
,,,,,,,,,,,,,,,,,,Room,FHE SOE N 11,,,,
,,,,,,,,,,,,,,,,,,Room,FHE SOE N 12,,,,
,,,,,,,,,,,,,,,,,,Room,FHE SOE N 13,,,,
,,,,,,,,,,,,,,,,,,Room,FHE SOE South Block Old Library,,,,
,,,,,,,,,,,,,,,,,,Room,FHE SOE South Block SCI LAB,,,,
,,,,,,,,,,,,,,,,,,Room,FHE SOE A2 J,,,,
55015,Tue,08:00,16:00,49-52,0,,Lecture,,,,,N,N,N,,,
,,,,,,,,,,,,,,,,,,Group,Dip.Ed.,,,,
,,,,,,,,,,,,,,,,,,Room,FHE SOE 131,,,,
,,,,,,,,,,,,,,,,,,Room,FHE SOE 202,,,,
,,,,,,,,,,,,,,,,,,Room,FHE SOE 203,,,,
,,,,,,,,,,,,,,,,,,Room,FHE SOE 204,,,,
,,,,,,,,,,,,,,,,,,Room,FHE SOE 217  { Computer Lab - PC },,,,
,,,,,,,,,,,,,,,,,,Room,FHE SOE 218,,,,
,,,,,,,,,,,,,,,,,,Room,FHE SOE 219,,,,
,,,,,,,,,,,,,,,,,,Room,FHE SOE 220  { Computer Lab - MAC },,,,
,,,,,,,,,,,,,,,,,,Room,FHE SOE 221,,,,
,,,,,,,,,,,,,,,,,,Room,FHE SOE 228,,,,
,,,,,,,,,,,,,,,,,,Room,FHE SOE 323  {SR1},,,,
,,,,,,,,,,,,,,,,,,Room,FHE SOE 324  {SR4},,,,
,,,,,,,,,,,,,,,,,,Room,FHE SOE 325  {SR2},,,,
,,,,,,,,,,,,,,,,,,Room,FHE SOE 326  {SR3},,,,
,,,,,,,,,,,,,,,,,,Room,FHE SOE A1 BCD (Room 1),,,,
,,,,,,,,,,,,,,,,,,Room,FHE SOE A1 EF (Room 2),,,,
,,,,,,,,,,,,,,,,,,Room,FHE SOE N 11,,,,
,,,,,,,,,,,,,,,,,,Room,FHE SOE N 12,,,,
,,,,,,,,,,,,,,,,,,Room,FHE SOE N 13,,,,
,,,,,,,,,,,,,,,,,,Room,FHE SOE South Block Old Library,,,,
,,,,,,,,,,,,,,,,,,Room,FHE SOE South Block SCI LAB,,,,
,,,,,,,,,,,,,,,,,,Room,FHE SOE A2 J,,,,
55016,Wed,08:00,16:00,49-52,0,,Lecture,,,,,N,N,N,,,
,,,,,,,,,,,,,,,,,,Group,Dip.Ed.,,,,
,,,,,,,,,,,,,,,,,,Room,FHE SOE 131,,,,
,,,,,,,,,,,,,,,,,,Room,FHE SOE 202,,,,
,,,,,,,,,,,,,,,,,,Room,FHE SOE 203,,,,
,,,,,,,,,,,,,,,,,,Room,FHE SOE 204,,,,
,,,,,,,,,,,,,,,,,,Room,FHE SOE 217  { Computer Lab - PC },,,,
,,,,,,,,,,,,,,,,,,Room,FHE SOE 218,,,,
,,,,,,,,,,,,,,,,,,Room,FHE SOE 219,,,,
,,,,,,,,,,,,,,,,,,Room,FHE SOE 220  { Computer Lab - MAC },,,,
,,,,,,,,,,,,,,,,,,Room,FHE SOE 221,,,,
,,,,,,,,,,,,,,,,,,Room,FHE SOE 228,,,,
,,,,,,,,,,,,,,,,,,Room,FHE SOE 323  {SR1},,,,
,,,,,,,,,,,,,,,,,,Room,FHE SOE 324  {SR4},,,,
,,,,,,,,,,,,,,,,,,Room,FHE SOE 325  {SR2},,,,
,,,,,,,,,,,,,,,,,,Room,FHE SOE 326  {SR3},,,,
,,,,,,,,,,,,,,,,,,Room,FHE SOE A1 BCD (Room 1),,,,
,,,,,,,,,,,,,,,,,,Room,FHE SOE A1 EF (Room 2),,,,
,,,,,,,,,,,,,,,,,,Room,FHE SOE N 11,,,,
,,,,,,,,,,,,,,,,,,Room,FHE SOE N 12,,,,
,,,,,,,,,,,,,,,,,,Room,FHE SOE N 13,,,,
,,,,,,,,,,,,,,,,,,Room,FHE SOE South Block Old Library,,,,
,,,,,,,,,,,,,,,,,,Room,FHE SOE South Block SCI LAB,,,,
,,,,,,,,,,,,,,,,,,Room,FHE SOE A2 J,,,,
55017,Thu,08:00,16:00,49-52,0,,Lecture,,,,,N,N,N,,,
,,,,,,,,,,,,,,,,,,Group,Dip.Ed.,,,,
,,,,,,,,,,,,,,,,,,Room,FHE SOE 131,,,,
,,,,,,,,,,,,,,,,,,Room,FHE SOE 202,,,,
,,,,,,,,,,,,,,,,,,Room,FHE SOE 203,,,,
,,,,,,,,,,,,,,,,,,Room,FHE SOE 204,,,,
,,,,,,,,,,,,,,,,,,Room,FHE SOE 217  { Computer Lab - PC },,,,
,,,,,,,,,,,,,,,,,,Room,FHE SOE 218,,,,
,,,,,,,,,,,,,,,,,,Room,FHE SOE 219,,,,
,,,,,,,,,,,,,,,,,,Room,FHE SOE 220  { Computer Lab - MAC },,,,
,,,,,,,,,,,,,,,,,,Room,FHE SOE 221,,,,
,,,,,,,,,,,,,,,,,,Room,FHE SOE 228,,,,
,,,,,,,,,,,,,,,,,,Room,FHE SOE 323  {SR1},,,,
,,,,,,,,,,,,,,,,,,Room,FHE SOE 324  {SR4},,,,
,,,,,,,,,,,,,,,,,,Room,FHE SOE 325  {SR2},,,,
,,,,,,,,,,,,,,,,,,Room,FHE SOE 326  {SR3},,,,
,,,,,,,,,,,,,,,,,,Room,FHE SOE A1 BCD (Room 1),,,,
,,,,,,,,,,,,,,,,,,Room,FHE SOE A1 EF (Room 2),,,,
,,,,,,,,,,,,,,,,,,Room,FHE SOE N 11,,,,
,,,,,,,,,,,,,,,,,,Room,FHE SOE N 12,,,,
,,,,,,,,,,,,,,,,,,Room,FHE SOE N 13,,,,
,,,,,,,,,,,,,,,,,,Room,FHE SOE South Block Old Library,,,,
,,,,,,,,,,,,,,,,,,Room,FHE SOE South Block SCI LAB,,,,
,,,,,,,,,,,,,,,,,,Room,FHE SOE A2 J,,,,
55018,Fri,08:00,16:00,49-52,0,,Lecture,,,,,N,N,N,,,
,,,,,,,,,,,,,,,,,,Group,Dip.Ed.,,,,
,,,,,,,,,,,,,,,,,,Room,FHE SOE 131,,,,
,,,,,,,,,,,,,,,,,,Room,FHE SOE 202,,,,
,,,,,,,,,,,,,,,,,,Room,FHE SOE 203,,,,
,,,,,,,,,,,,,,,,,,Room,FHE SOE 204,,,,
,,,,,,,,,,,,,,,,,,Room,FHE SOE 217  { Computer Lab - PC },,,,
,,,,,,,,,,,,,,,,,,Room,FHE SOE 218,,,,
,,,,,,,,,,,,,,,,,,Room,FHE SOE 219,,,,
,,,,,,,,,,,,,,,,,,Room,FHE SOE 220  { Computer Lab - MAC },,,,
,,,,,,,,,,,,,,,,,,Room,FHE SOE 221,,,,
,,,,,,,,,,,,,,,,,,Room,FHE SOE 228,,,,
,,,,,,,,,,,,,,,,,,Room,FHE SOE 323  {SR1},,,,
,,,,,,,,,,,,,,,,,,Room,FHE SOE 324  {SR4},,,,
,,,,,,,,,,,,,,,,,,Room,FHE SOE 325  {SR2},,,,
,,,,,,,,,,,,,,,,,,Room,FHE SOE 326  {SR3},,,,
,,,,,,,,,,,,,,,,,,Room,FHE SOE A1 BCD (Room 1),,,,
,,,,,,,,,,,,,,,,,,Room,FHE SOE A1 EF (Room 2),,,,
,,,,,,,,,,,,,,,,,,Room,FHE SOE N 11,,,,
,,,,,,,,,,,,,,,,,,Room,FHE SOE N 12,,,,
,,,,,,,,,,,,,,,,,,Room,FHE SOE N 13,,,,
,,,,,,,,,,,,,,,,,,Room,FHE SOE South Block Old Library,,,,
,,,,,,,,,,,,,,,,,,Room,FHE SOE South Block SCI LAB,,,,
,,,,,,,,,,,,,,,,,,Room,FHE SOE A2 J,,,,
55020,Tue,16:00,18:00,40-46,0,,Lecture,,,,,N,N,N,,,
,,,,,,,,,,,,,,,,,,Module,LING 1002,,,,
,,,,,,,,,,,,,,,,,,Room,FHE CLL  LECTURE ROOM,,Lecture Room,,
55021,Thu,16:00,18:00,40-46,0,,Lecture,,,,,N,N,N,,,
,,,,,,,,,,,,,,,,,,Module,LING 1002,,,,
,,,,,,,,,,,,,,,,,,Room,FHE CLL  AUDITORIUM,,Auditorium,,
55066,Wed,10:00,12:00,40,0,,Lecture,,,,,N,N,N,,,
,,,,,,,,,,,,,,,,,,Module,MATH 2230,,,,
,,,,,,,,,,,,,,,,,,Room,ENG 101,,,,
55067,Thu,10:00,12:00,40,0,,Lecture,,,,,N,N,N,,,
,,,,,,,,,,,,,,,,,,Module,MATH 2230,,,,
,,,,,,,,,,,,,,,,,,Room,ENG 101,,,,
55068,Thu,08:00,13:00,39-46,0,,Lecture,,,,,N,N,N,,,
,,,,,,,,,,,,,,,,,,Module,MATH 2240,,,,
,,,,,,,,,,,,,,,,,,Room,ENG 5,,,,
55069,Fri,09:00,12:00,39-46,0,,Lecture,,,,,N,N,N,,,
,,,,,,,,,,,,,,,,,,Module,MENG 1010,,,,
,,,,,,,,,,,,,,,,,,Room,ENG 104,,,,
55070,Tue,10:00,12:00,39-46,0,,Lecture,,,,,N,N,N,,,
,,,,,,,,,,,,,,,,,,Module,MENG 2003,,,,
,,,,,,,,,,,,,,,,,,Room,ENG Lecture Room 4,,,,
55071,Wed,10:00,12:00,39-46,0,,Lecture,,,,,N,N,N,,,
,,,,,,,,,,,,,,,,,,Module,MENG 2003,,,,
,,,,,,,,,,,,,,,,,,Room,ENG Lecture Room 4,,,,
55072,Thu,10:00,12:00,39-46,0,,Lecture,,,,,N,N,N,,,
,,,,,,,,,,,,,,,,,,Module,MENG 2003,,,,
,,,,,,,,,,,,,,,,,,Room,ENG Lecture Room 4,,,,
55073,Tue,09:00,12:00,39-46,0,,Lecture,,,,,N,N,N,,,
,,,,,,,,,,,,,,,,,,Module,MENG 2007,,,,
,,,,,,,,,,,,,,,,,,Staff,"MANOHAR,Krishpersad",,,,
,,,,,,,,,,,,,,,,,,Room,ENG 105,,,,
55074,Wed,09:00,12:00,39-46,0,,Lecture,,,,,N,N,N,,,
,,,,,,,,,,,,,,,,,,Module,MENG 2007,,,,
,,,,,,,,,,,,,,,,,,Staff,"MANOHAR,Krishpersad",,,,
,,,,,,,,,,,,,,,,,,Room,ENG 105,,,,
55075,Thu,09:00,12:00,39-46,0,,Lecture,,,,,N,N,N,,,
,,,,,,,,,,,,,,,,,,Module,MENG 2007,,,,
,,,,,,,,,,,,,,,,,,Staff,"MANOHAR,Krishpersad",,,,
,,,,,,,,,,,,,,,,,,Room,ENG 105,,,,
55076,Fri,09:00,12:00,39-46,0,,Lecture,,,,,N,N,N,,,
,,,,,,,,,,,,,,,,,,Module,MENG 2007,,,,
,,,,,,,,,,,,,,,,,,Staff,"MANOHAR,Krishpersad",,,,
,,,,,,,,,,,,,,,,,,Room,ENG 105,,,,
55077,Tue,13:00,16:00,40-41,0,,Lecture,,,,,N,N,N,,,
,,,,,,,,,,,,,,,,,,Module,GEOM 2001,,,,
,,,,,,,,,,,,,,,,,,Room,ENG SV111,,,,
55078,Thu,13:00,16:00,40-41,0,,Lecture,,,,,N,N,N,,,
,,,,,,,,,,,,,,,,,,Module,GEOM 2001,,,,
,,,,,,,,,,,,,,,,,,Room,ENG SV111,,,,
55079,Wed,16:00,19:00,39-46,0,,Lecture,,,,,N,N,N,,,
,,,,,,,,,,,,,,,,,,Module,GEOM 2030,,,,
,,,,,,,,,,,,,,,,,,Room,ENG SV105,,,,
53814,Fri,16:00,17:00,21-33,0,,Lecture,,,,,N,N,N,,,
,,,,,,,,,,,,,,,,,,Module,PSYC 3025,,,,
,,,,,,,,,,,,,,,,,,Room,TCB 22,,,,
53329,Thu,09:00,10:00,21-33,0,,Lecture,,,,,N,N,N,,,
,,,,,,,,,,,,,,,,,,Module,CHEM 2370,,,,
,,,,,,,,,,,,,,,,,,Room,FST C3,,,,
53330,Thu,16:00,18:00,21-33,0,,Lecture,,,,,N,N,N,,,
,,,,,,,,,,,,,,,,,,Module,CHEM 2370,,,,
,,,,,,,,,,,,,,,,,,Room,FST CSW,,,,
53340,Mon,10:00,11:00,21-33,0,,Lecture,,,,,N,N,N,,,
,,,,,,,,,,,,,,,,,,Module,AGLS 3102,,,,
,,,,,,,,,,,,,,,,,,Room,FFA 26,,,,
53544,Mon,13:00,16:00,26,0,,Lecture,,,,,N,N,N,,,
,,,,,,,,,,,,,,,,,,Module,CHNG 3014,,,,
,,,,,,,,,,,,,,,,,,Room,ENG Lecture Room 3,,,,
53643,Thu,17:00,20:00,21-33,0,,Lecture,,,,,N,N,N,,,
,,,,,,,,,,,,,,,,,,Module,GOVT 3067,,,,
,,,,,,,,,,,,,,,,,,Room,TLC LT A2,,,,
53652,Wed,17:00,21:00,39-46,0,,Lecture,,,,,N,N,N,,,
,,,,,,,,,,,,,,,,,,Module,ACCT 3043,,,,
,,,,,,,,,,,,,,,,,,Room,ENG 12,,Classroom,,
53722,Fri,12:00,16:00,28,0,,Lecture,,,,,N,N,N,,,
,,,,,,,,,,,,,,,,,,Module,ECNG 1006,,,,
,,,,,,,,,,,,,,,,,,Room,ENG Lecture Theatre 2,,,,
53994,Tue,14:00,16:00,"21-24,26-33",0,,Lecture,,,,,N,N,N,,,
,,,,,,,,,,,,,,,,,,Module,HIST 3603,,,,
,,,,,,,,,,,,,,,,,,Room,TLC TR8,,,,
54075,Wed,09:00,12:00,39-46,0,,Lecture,,,,,N,N,N,,,
,,,,,,,,,,,,,,,,,,Module,ACCT 2017,,,,
,,,,,,,,,,,,,,,,,,Room,FSS 102 W,,Classroom,,
54222,Thu,13:00,16:00,31-33,0,,Lecture,,,,,N,N,N,,,
,,,,,,,,,,,,,,,,,,Module,COCR 1034,,,,
,,,,,,,,,,,,,,,,,,Room,TLC TR3,,,,
,,,,,,,,,,,,,,,,,,Room,TLC TR5,,,,
,,,,,,,,,,,,,,,,,,Room,TLC TR7,,,,
,,,,,,,,,,,,,,,,,,Room,TLC TR8,,,,
54644,Wed,17:00,20:00,39-46,0,,Lecture,,,,,N,N,N,,,
,,,,,,,,,,,,,,,,,,Module,GOVT 4014,,,,
,,,,,,,,,,,,,,,,,,Room,FSS 100 W,,Classroom,,
54725,Mon,17:00,19:00,40-46,0,,Lecture,,,,,N,N,N,,,
,,,,,,,,,,,,,,,,,,Module,ACCT 2015,,,,
,,,,,,,,,,,,,,,,,,Room,ENG 9,,Classroom,,
54732,Mon,13:00,15:00,40-46,0,,Lecture,,,,,N,N,N,,,
,,,,,,,,,,,,,,,,,,Module,MGMT 2026,,,,
,,,,,,,,,,,,,,,,,,Room,FSS 101 E,,,,
54733,Wed,13:00,16:00,40-46,0,,Lecture,,,,,N,N,N,,,
,,,,,,,,,,,,,,,,,,Module,MGMT 2026,,,,
,,,,,,,,,,,,,,,,,,Room,FSS 101 E,,,,
54734,Wed,17:00,19:00,40-46,0,,Lecture,,,,,N,N,N,,,
,,,,,,,,,,,,,,,,,,Module,ACCT 2014,,,,
,,,,,,,,,,,,,,,,,,Room,SAC Meeting Room 3 (CR74),,Classroom,,
54735,Thu,17:00,20:00,40-46,0,,Lecture,,,,,N,N,N,,,
,,,,,,,,,,,,,,,,,,Module,ACCT 2015,,,,
,,,,,,,,,,,,,,,,,,Room,FSS 101 E,,,,
54750,Tue,10:00,13:00,40-46,0,,Lecture,,,,,N,N,N,,,
,,,,,,,,,,,,,,,,,,Module,AGBU 1005,,,,
,,,,,,,,,,,,,,,,,,Room,FFA A,,,,
54751,Thu,10:00,13:00,40-46,0,,Lecture,,,,,N,N,N,,,
,,,,,,,,,,,,,,,,,,Module,AGBU 1005,,,,
,,,,,,,,,,,,,,,,,,Room,FFA A,,Lecture Theatre,,
54752,Tue,10:00,12:00,40-46,0,,Lecture,,,,,N,N,N,,,
,,,,,,,,,,,,,,,,,,Module,BIOL 2061,,,,
,,,,,,,,,,,,,,,,,,Room,FST C3,,,,
54753,Thu,10:00,12:00,40-46,0,,Lecture,,,,,N,N,N,,,
,,,,,,,,,,,,,,,,,,Module,BIOL 2061,,,,
,,,,,,,,,,,,,,,,,,Room,FST C3,,,,
54782,Tue,17:00,19:00,40-46,0,,Lecture,,,,,N,N,N,,,
,,,,,,,,,,,,,,,,,,Module,MGMT 2008,,,,
,,,,,,,,,,,,,,,,,,Room,ENG 101,,Lecture Theatre,,
54812,Fri,17:00,20:00,40-46,0,,Lecture,,,,,N,N,N,,,
,,,,,,,,,,,,,,,,,,Module,ECON 2001,,,,
,,,,,,,,,,,,,,,,,,Room,FSS MLT,,Lecture Theatre,,
54813,Mon,09:00,11:00,40-46,0,,Lecture,,,,,N,N,N,,,
,,,,,,,,,,,,,,,,,,Module,FSTF 2000,,,,
,,,,,,,,,,,,,,,,,,Room,FST 114,,,,
54814,Wed,09:00,10:00,40-46,0,,Lecture,,,,,N,N,N,,,
,,,,,,,,,,,,,,,,,,Module,FSTF 2000,,,,
,,,,,,,,,,,,,,,,,,Room,FST 412,,,,
54815,Thu,10:00,12:00,40-46,0,,Lecture,,,,,N,N,N,,,
,,,,,,,,,,,,,,,,,,Module,FSTF 2000,,,,
,,,,,,,,,,,,,,,,,,Room,TCB 21,,Classroom,,
54803,Thu,16:00,19:00,40-46,0,,Lecture,,,,,N,N,N,,,
,,,,,,,,,,,,,,,,,,Module,HIST 3607,,,,
,,,,,,,,,,,,,,,,,,Room,TCB 22,,Classroom,,
54404,Tue,17:00,20:00,39-46,0,,Lecture,,,,,N,N,N,,,
,,,,,,,,,,,,,,,,,,Module,ACCT 2021,,,,
,,,,,,,,,,,,,,,,,,Room,ENG 12,,Classroom,,
54405,Thu,17:00,20:00,39-46,0,,Lecture,,,,,N,N,N,,,
,,,,,,,,,,,,,,,,,,Module,ACCT 2021,,,,
,,,,,,,,,,,,,,,,,,Room,ENG 12,,Classroom,,
54524,Mon,13:00,15:00,39-46,0,,Lecture,,,,,N,N,N,,,
,,,,,,,,,,,,,,,,,,Module,SOCI 1006,,,,
,,,,,,,,,,,,,,,,,,Room,FSS 100 E,,Classroom,,
54755,Mon,15:00,17:00,41-46,0,,Lecture,,,,,N,N,N,,,
,,,,,,,,,,,,,,,,,,Module,BIOL 1262,,,,
,,,,,,,,,,,,,,,,,,Room,FST C2,,,,
54756,Wed,15:00,17:00,41-46,0,,Lecture,,,,,N,N,N,,,
,,,,,,,,,,,,,,,,,,Module,ESST 1001,,,,
,,,,,,,,,,,,,,,,,,Room,FST C2,,,,
54757,Thu,16:00,18:00,40-46,0,,Lecture,,,,,N,N,N,,,
,,,,,,,,,,,,,,,,,,Module,BIOL 1262,,,,
,,,,,,,,,,,,,,,,,,Room,TCB 23,,Classroom,,
54759,Fri,15:00,17:00,40-46,0,,Lecture,,,,,N,N,N,,,
,,,,,,,,,,,,,,,,,,Module,ESST 1001,,,,
,,,,,,,,,,,,,,,,,,Room,FST 113,,,,
54762,Tue,17:00,20:00,40-46,0,,Lecture,,,,,N,N,N,,,
,,,,,,,,,,,,,,,,,,Module,GOVT 3046,,,,
,,,,,,,,,,,,,,,,,,Room,FSS 101 E,,,,
54763,Wed,10:00,12:00,40-45,0,,Lecture,,,,,N,N,N,,,
,,,,,,,,,,,,,,,,,,Module,BIOL 2265,,,,
,,,,,,,,,,,,,,,,,,Room,FST 114,,Classroom,,
54764,Fri,12:00,14:00,40-45,0,,Lecture,,,,,N,N,N,,,
,,,,,,,,,,,,,,,,,,Module,BIOL 2265,,,,
,,,,,,,,,,,,,,,,,,Room,TCB 23,,Classroom,,
54765,Tue,17:00,20:00,40-46,0,,Lecture,,,,,N,N,N,,,
,,,,,,,,,,,,,,,,,,Module,ECON 3007,,,,
,,,,,,,,,,,,,,,,,,Room,FSS 102 W,,Classroom,,
54767,Wed,17:00,20:00,40-46,0,,Lecture,,,,,N,N,N,,,
,,,,,,,,,,,,,,,,,,Module,ECON 3068,,,,
,,,,,,,,,,,,,,,,,,Room,LRC T4,,Tutorial Room,,
53986,Tue,12:00,14:00,"21-24,26-33",0,,Lecture,,,,,N,N,N,,,
,,,,,,,,,,,,,,,,,,Module,ECON 3071,,,,
,,,,,,,,,,,,,,,,,,Room,TLC TR8,,,,
54770,Wed,17:00,20:00,40-46,0,,Lecture,,,,,N,N,N,,,
,,,,,,,,,,,,,,,,,,Module,GOVT 3062,,,,
,,,,,,,,,,,,,,,,,,Room,FSS 103,,,,
54772,Wed,17:00,20:00,40-46,0,,Lecture,,,,,N,N,N,,,
,,,,,,,,,,,,,,,,,,Module,GOVT 2047,,,,
,,,,,,,,,,,,,,,,,,Room,TCB 23,,Classroom,,
55549,Tue,10:00,12:00,2-14,0,,Lecture,,,,,N,N,N,,,
,,,,,,,,,,,,,,,,,,Module,GEOG 2011,,,,
,,,,,,,,,,,,,,,,,,Room,FFA C,,Conference Room,,
55188,Fri,11:00,13:00,41-46,0,,Lecture,,,,,N,N,N,,,
,,,,,,,,,,,,,,,,,,Module,MATH 1125,,,,
,,,,,,,,,,,,,,,,,,Room,FST 413,,Lecture Room,,
55194,Fri,16:00,19:00,40-46,0,,Lecture,,,,,N,N,N,,,
,,,,,,,,,,,,,,,,,,Module,MATH 2274,,,,
,,,,,,,,,,,,,,,,,,Room,FST 114,,Classroom,,
55208,Tue,13:00,15:00,41-46,0,,Lecture,,,,,N,N,N,,,
