_event_id,_day_of_week,_start_time,_end_time,_weeks,_break_mins,_spanName,_event_catName,_tag1,_tag2,_capacity_req,_deptName,_global_event,_protected,_suspended,_grouping_id,_registers_req,_lock,_resType,_resName,_resWeeks,_layoutName,_scheduling_status,_quantity
59703,Sat,11:00,12:00,22-33,0,,CLL Certificate Language Courses,,,,,N,N,N,,,
,,,,,,,,,,,,,,,,,,Module,FREN 1006,,,,
,,,,,,,,,,,,,,,,,,Room,FHE CLL  Room  4,,,,
59705,Sat,12:00,13:00,22-33,0,,CLL Certificate Language Courses,,,,,N,N,N,,,
,,,,,,,,,,,,,,,,,,Module,FREN 1006,,,,
,,,,,,,,,,,,,,,,,,Room,FHE CLL  Room  4,,,,
59707,Sat,12:00,13:00,21-33,0,,CLL Certificate Language Courses,,,,,N,N,N,,,
,,,,,,,,,,,,,,,,,,Module,CLL HINDI 1B,,,,
,,,,,,,,,,,,,,,,,,Room,FHE CLL  Room  7,,,,
59709,Sat,10:00,11:00,21-33,0,,CLL Certificate Language Courses,,,,,N,N,N,,,
,,,,,,,,,,,,,,,,,,Module,CLL HINDI 1B,,,,
,,,,,,,,,,,,,,,,,,Room,FHE CLLS,,,,
59712,Tue,18:00,19:00,21-33,0,,CLL Certificate Language Courses,,,,,N,N,N,,,
,,,,,,,,,,,,,,,,,,Module,CLL HINDI 1B,,,,
,,,,,,,,,,,,,,,,,,Room,FHE CLL  Room 12,,,,
59714,Thu,17:00,18:00,21-33,0,,CLL Certificate Language Courses,,,,,N,N,N,,,
,,,,,,,,,,,,,,,,,,Module,CLL HINDI 1B,,,,
,,,,,,,,,,,,,,,,,,Room,FHE CLL  Room 12,,,,
59715,Thu,18:00,19:00,21-33,0,,CLL Certificate Language Courses,,,,,N,N,N,,,
,,,,,,,,,,,,,,,,,,Module,CLL HINDI 1B,,,,
,,,,,,,,,,,,,,,,,,Room,FHE CLL  Room 12,,,,
59728,Sat,14:00,15:00,21-33,0,,CLL Certificate Language Courses,,,,,N,N,N,,,
,,,,,,,,,,,,,,,,,,Module,CLL ARABIC 1B,,,,
,,,,,,,,,,,,,,,,,,Room,FHE CLL  Room  5,,,,
59729,Sat,15:00,16:00,21-33,0,,CLL Certificate Language Courses,,,,,N,N,N,,,
,,,,,,,,,,,,,,,,,,Module,CLL ARABIC 1B,,,,
,,,,,,,,,,,,,,,,,,Room,FHE CLLS,,,,
59730,Sat,16:00,17:00,21-33,0,,CLL Certificate Language Courses,,,,,N,N,N,,,
,,,,,,,,,,,,,,,,,,Module,CLL ARABIC 1B,,,,
,,,,,,,,,,,,,,,,,,Room,FHE CLL  Room  3,,,,
59733,Mon,18:00,19:00,21-33,0,,CLL Certificate Language Courses,,,,,N,N,N,,,
,,,,,,,,,,,,,,,,,,Module,CLL ARABIC 2B,,,,
,,,,,,,,,,,,,,,,,,Room,FHE CLL  Room  9,,,,
59735,Wed,17:00,18:00,21-33,0,,CLL Certificate Language Courses,,,,,N,N,N,,,
,,,,,,,,,,,,,,,,,,Module,CLL ARABIC 2B,,,,
,,,,,,,,,,,,,,,,,,Room,FHE CLL  Room  9,,,,
59736,Wed,18:00,19:00,21-33,0,,CLL Certificate Language Courses,,,,,N,N,N,,,
,,,,,,,,,,,,,,,,,,Module,CLL ARABIC 2B,,,,
,,,,,,,,,,,,,,,,,,Room,FHE CLL  Room  4,,,,
59738,Tue,17:00,18:00,22-33,0,,CLL Certificate Language Courses,,,,,N,N,N,,,
,,,,,,,,,,,,,,,,,,Module,CLL ARABIC 3B,,,,
,,,,,,,,,,,,,,,,,,Room,FHE CLL  Room  3,,,,
59740,Tue,18:00,19:00,22-33,0,,CLL Certificate Language Courses,,,,,N,N,N,,,
,,,,,,,,,,,,,,,,,,Module,CLL ARABIC 3B,,,,
,,,,,,,,,,,,,,,,,,Room,FHE CLL  Room  3,,,,
59741,Thu,17:00,18:00,22-33,0,,CLL Certificate Language Courses,,,,,N,N,N,,,
,,,,,,,,,,,,,,,,,,Module,CLL ARABIC 3B,,,,
59743,Thu,18:00,19:00,22-33,0,,CLL Certificate Language Courses,,,,,N,N,N,,,
,,,,,,,,,,,,,,,,,,Module,CLL ARABIC 3B,,,,
,,,,,,,,,,,,,,,,,,Room,FHE CLL  Room  4,,,,
59747,Sat,15:00,16:00,21-33,0,,CLL Certificate Language Courses,,,,,N,N,N,,,
,,,,,,,,,,,,,,,,,,Module,CLL CHINESE 1B,,,,
,,,,,,,,,,,,,,,,,,Room,FHE CLL  Room  7,,,,
59748,Sat,16:00,17:00,21-33,0,,CLL Certificate Language Courses,,,,,N,N,N,,,
,,,,,,,,,,,,,,,,,,Module,CLL CHINESE 1B,,,,
,,,,,,,,,,,,,,,,,,Room,FHE CLL  Room  7,,,,
59749,Sat,14:00,15:00,21-33,0,,CLL Certificate Language Courses,,,,,N,N,N,,,
,,,,,,,,,,,,,,,,,,Module,CLL CHINESE 1B,,,,
,,,,,,,,,,,,,,,,,,Room,FHE CLLS,,,,
59750,Sat,10:00,11:00,21-33,0,,CLL Certificate Language Courses,,,,,N,N,N,,,
,,,,,,,,,,,,,,,,,,Module,CLL CHINESE 2B,,,,
,,,,,,,,,,,,,,,,,,Room,FHE CLL  Room  4,,,,
59751,Sat,11:00,12:00,21-33,0,,CLL Certificate Language Courses,,,,,N,N,N,,,
,,,,,,,,,,,,,,,,,,Module,CLL CHINESE 2B,,,,
,,,,,,,,,,,,,,,,,,Room,FHE CLL  Room  9,,,,
59753,Sat,12:00,13:00,21-33,0,,CLL Certificate Language Courses,,,,,N,N,N,,,
,,,,,,,,,,,,,,,,,,Module,CLL CHINESE 2B,,,,
,,,,,,,,,,,,,,,,,,Room,FHE CLL  Room  9,,,,
59755,Mon,17:00,18:00,22-33,0,,CLL Certificate Language Courses,,,,,N,N,N,,,
,,,,,,,,,,,,,,,,,,Module,CLL GERMAN 1A,,,,
,,,,,,,,,,,,,,,,,,Room,FHE CLLN,,,,
59756,Mon,18:00,19:00,22-33,0,,CLL Certificate Language Courses,,,,,N,N,N,,,
,,,,,,,,,,,,,,,,,,Module,CLL GERMAN 1A,,,,
